Category1;Value1;Value2
B;7.0242765930187545;16.303111226644234
E;7.749627796537677;17.643952078843494
C;10.777637820527426;13.80904069562939
B;7.652253347387942;14.664487025174491
A;12.225268610406603;22.60626153217021
A;9.857759418339327;20.78969223963645
A;10.17118940788905;22.949519045542843
D;9.443254064784211;21.28408633820502
C;11.545695677087446;24.226031606885574
C;11.566319775554021;25.269283988929967
A;10.670108703824344;9.549700280803375
E;11.129578211815296;14.874142097513825
D;9.575820660159149;18.611744255059765
B;11.084406013818096;19.863934847075953
A;9.324244449052387;15.9794565570918
A;10.004463244324803;25.472142025929834
B;9.450712501267406;31.879690209743593
B;9.085562921361609;21.116971733490406
B;8.62177640455642;20.506046193189267
B;10.93538020771777;25.096737530625987
C;12.621211825626926;8.804961468779384
A;12.342203943339118;20.170813642630463
B;7.48686932810913;25.8742149528051
B;12.578406102813746;16.141076016793328
B;9.363682996764142;12.640636520588208
C;11.201466030291183;18.88516633940133
A;8.187569335905579;19.635887400788476
B;10.28395982774801;14.54808630850725
B;10.627446365793814;32.576967656305705
A;7.030790416160695;17.127821713952326
C;11.21653433268838;13.078043891440588
A;12.691870015676631;19.43827208557633
A;9.650704108636743;25.447163826226948
E;12.720336261656026;20.104485493989387
E;9.620613013095184;22.913563520264013
D;11.699169062093235;14.770936434001056
B;5.562860068097801;28.92613067842108
A;14.837555558626928;23.37026616751066
C;12.990916490485914;26.28620941326566
B;9.430748991492642;22.190963794851015
A;6.0558219467123635;24.949304226372703
B;10.576056736610978;14.761684641936636
A;7.112148905852486;17.051537499862626
E;10.889707075114977;28.078883573336178
B;10.823131438328565;29.358451683703784
C;8.11719366199595;13.117606401685538
B;12.241934047228755;21.498416407182873
B;11.611149405612347;17.414337197088635
B;11.951646674577127;15.81781118381083
A;10.017715407337791;21.7090381721327
E;7.168951866172587;26.845777594192448
C;11.955744544422275;22.70997483970516
E;9.459257201728418;18.08292530048579
D;7.220439713614661;23.08916707961096
B;12.704078731948652;17.840142958514594
E;14.19881504100502;22.472685804383612
A;9.917503742041594;28.378794202734397
A;14.318242309206584;7.537042044195033
A;10.1826294572227;24.7835137912402
B;9.239088191667298;10.765670470577188
B;8.739083091629045;27.369966263266768
B;13.274164815985484;16.177846340762834
D;8.439712237224457;12.693971734361096
B;11.470538619949975;24.171615362532485
B;8.881672329881583;22.185020378854464
B;9.079386474851274;14.004878582230052
A;12.060499387939133;12.482001456989638
D;9.239926307421293;18.875111075052306
A;9.190409241159413;12.775478298972821
E;12.265609394349614;13.631162162458235
C;13.194794586443246;20.6937247425286
A;11.289379606568467;14.20477019446942
A;8.690460448752102;22.55923574015926
D;8.97878300140484;28.94086157530086
C;10.159830527480075;19.108667510596504
C;10.641860123851314;20.780906371913506
C;8.024268179720456;32.10858039701292
A;11.446075879159729;12.874393295735919
B;10.171026659279198;27.14741117108445
A;6.568583362723741;26.425145587474894
D;8.142147035078539;25.125904035042698
C;8.991742652696672;27.750487104395788
B;9.85428462231789;21.683449795751713
A;13.778557591007992;16.502423026404394
B;10.476342612279257;26.567439747323405
B;8.31845622020275;26.79705327027737
