Category1;Value1;Value2
B;7.049807257711752;16.322279127987485
E;7.774958612059501;17.648661333267455
C;10.802134357025983;22.564425557335653
A;7.6776109915727115;20.763622372488044
B;12.249366294856499;24.17137797853502
B;9.88250940025214;25.206994180027323
B;10.195853033395023;18.606514902147183
D;9.468118251444949;19.846465261591675
A;11.569980597853785;31.78030157213948
C;11.590599013957162;21.087952792273427
B;10.694634866805554;8.919726299578087
E;11.153977781499487;20.150450851607275
D;9.600648321997038;12.70337512595961
B;11.108818029371662;18.8772046767931
B;9.349141425309321;32.47480319651618
B;10.029172806317046;17.138001798679397
B;9.475574632975531;25.383620443413065
A;9.11052565928717;20.084744480728432
A;8.646866925203696;28.840907657506023
B;10.959833282945171;23.32223869723066
C;12.64520041957968;26.21694330119135
B;12.366269409700378;22.152602543650573
B;7.51227253899182;17.062536234126355
B;12.602406490623302;27.998442830710474
A;9.388569106890252;21.466020543407694
C;11.225845793403233;17.42146565762164
B;8.212779489528392;15.842409440625943
A;10.308592382684537;21.674805461294454
A;10.651984283126371;26.772869487803973
B;7.05631928616148;22.667283109495884
A;11.240909944173286;17.842803756251442
B;12.715839141845159;22.4319590482894
B;9.675511138544831;24.7247192406478
E;12.744297544788466;10.853023593263288
E;9.645428333718824;12.75603302169361
D;11.723411697786299;24.11737335613975
B;5.5887933830929235;12.546762088082232
B;14.860933504308987;18.867249305134465
C;13.014803223201667;20.66852867480725
A;9.4556166235582;14.248170967316128
B;6.081619440573693;19.098497128873987
A;10.600608812843044;20.754916330867673
B;7.137655359916476;27.072597803467943
E;10.914172734229535;26.35496216273623
B;10.847615440399979;21.649439187992357
C;8.142423205563986;16.51939105654992
B;12.266027140008132;26.496325764972653
A;11.635416292530625;26.724456737990067
A;11.975819747496532;15.72873310424643
B;10.042421318086634;21.11887591988966
E;7.19444266985303;17.428991185496216
C;11.979916488294277;21.85642304827661
E;9.484116979195871;15.330653741605602
D;7.245916331334447;24.653264487594925
A;12.728044494364813;21.894863983023015
E;14.222368972833406;15.342225187245276
B;9.942237263164769;24.09407427592282
B;14.34176333636693;16.475288533727507
B;10.20728993075985;9.776125629283115
B;9.264008630224119;14.150098262898837
B;8.764141291871983;25.343601184813906
B;13.297973507963437;29.65363715814783
D;8.464852920293419;29.83137768641518
B;11.494844248030928;16.80530403598118
B;8.906691243857477;18.86127701956275
A;9.104350914514848;17.538202919493642
B;12.084642469697787;19.893592792657728
C;9.26484651505999;12.353873032777528
B;9.21534309176803;16.956087364564837
E;12.28969596408405;21.139163842283097
C;13.21862514655144;25.37639791399465
B;11.313735147682582;21.647751927859417
B;8.715532045532928;18.603533082119384
D;9.00377515939395;14.282915372929665
C;10.184497282591161;25.76036028005342
C;10.666394069897153;11.654309177494042
C;8.049523326169584;12.671931534282294
B;11.470388247228769;23.426929671029484
B;10.19569032962576;24.268274455746678
B;6.594239580271607;6.441926804502373
D;8.167369703479201;18.652290585057244
C;9.016731240035375;8.941171301892837
B;9.879035561608454;18.995088553477217
B;13.802227312405147;17.778828009664267
B;10.500922161802889;28.077532129386782
B;8.343630311797657;22.505944331971477
C;10.465850823675801;22.70304156577231
C;9.320729311628103;26.917112637891023
D;10.67404831562963;27.166420577973668
A;11.185526249108342;20.788750415943923
B;12.442505750340906;16.31808292884125
C;9.976151183225642;25.019391268180016
C;13.30172871225648;24.699163255045733
A;11.840255758951798;23.365801805081446
C;8.610221530365255;20.76307156269263
A;14.443204401855237;18.93913979302465
A;10.67851963082395;27.18641692687197
A;8.35492197170855;17.761194548940466
B;13.329626071103355;16.066257707607747
B;14.179121021209134;18.578131684745586
B;9.958678462547141;15.208306345226674
C;9.01768780296212;24.728290132910615
B;9.680055862490775;20.768930064459028
A;11.45378040016887;9.245230777715278
E;12.579719950201595;22.5308126857185
B;11.165371091455054;18.767300391279377
A;10.228101154980253;20.06238846469364
C;13.019908866227288;21.477426487995217
B;9.399210231366462;17.089771746646193
B;12.085981389490867;16.009318487979954
B;9.448743929453402;23.3878011134002
B;10.886519196354442;13.268991849228314
E;9.797648239770249;14.600102622616532
D;9.913037203251701;15.674483358163116
C;9.270145712274102;25.66250709623705
D;12.713677784192509;27.454755768788118
C;8.559262587878468;15.62630582992324
B;8.544654185022738;14.69819910630713
D;14.265529168719922;20.700711021747793
A;11.979867086795545;18.759312719711716
D;5.255797690054704;24.845231990670754
D;8.89450479409792;22.890903124109627
B;6.401730597224626;30.243296300670863
B;8.123853274545414;2.1611157467514204
B;3.7494109098885335;14.936370406828473
A;9.750807123210786;24.74780720831768
D;7.7414564102885635;17.776209792320742
D;10.144488295040677;14.380970843878686
B;6.775363782587605;17.68203769992715
A;10.190488810211157;18.256060107299845
A;9.195106871399357;26.827513566940524
B;13.027789084235167;11.319285881522546
B;12.846646799527878;15.782155524840391
B;11.594969240004728;20.425149005735648
E;9.371663208010151;14.039127790976636
B;13.994377555984213;29.513573594710806
A;6.919496022333009;30.609297378334077
C;7.218366951105074;19.95597072759665
B;9.857190759863217;23.408441351045667
E;14.531544941857408;28.317132961341485
E;9.620144475026285;19.14255068476791
B;9.658321280954015;23.039051732250073
A;7.141684631387278;13.398060960799512
B;11.916048716146868;9.422184094529484
B;11.930538061052157;25.490532580875197
B;11.602426381621894;19.49445980155133
A;8.766616172479795;30.388767848896578
A;8.611686679453666;16.601686515244864
B;7.439178854435977;12.972149244490765
B;10.192409578032066;24.840107989163016
E;7.864491482019725;29.787488164078468
B;7.670526586123499;13.452639890703495
B;9.17756282889527;14.871482014936873
A;9.046667986507888;28.0445547172842
E;8.949050182357027;32.56716212901188
B;10.95734295523351;23.09043899184394
C;10.182762837418654;16.118615676315358
C;9.448557516508478;27.421944094690843
B;10.390635800681101;18.36523461779734
C;8.042203081673584;16.28717257479434
B;10.23521002667595;17.063640251321203
C;10.325832789230189;23.993735566388295
C;7.01944531362339;20.270608585295577
A;12.015549632243168;22.737489079190254
B;8.262329087473331;25.021707749382813
D;10.20528062570745;18.6598645746476
B;12.352892634024283;25.832406243266632
B;11.875554221174708;20.054882679269667
B;10.093358649736476;17.14565976792619
A;9.29991253780162;11.827793234781893
C;11.919212490832034;18.4195827531787
B;11.373728962646265;28.757660658229042
A;8.78832149617514;24.68839490287928
B;8.435361516793002;22.697680957076273
C;5.881142381244093;13.889191575791529
B;10.332689597195857;16.96589900728054
C;9.85936087152938;23.784889740692734
B;12.296467452820963;25.294133286330634
E;10.742623124546338;24.835514151681082
B;12.692433964898626;21.484999563934707
B;8.630366612243343;15.522120901991912
B;12.300384286005619;25.309740579584968
E;8.967169488174461;16.9259861146993
D;11.579474427884609;25.399298821039793
B;7.107997842510432;18.43133204035371
C;10.494851821220593;30.013678259269227
D;6.056428553489679;17.83396767878844
A;9.490583023564783;17.727005005866886
A;10.905176126303992;19.551405172855766
B;8.983060764341577;15.60160562762644
B;7.924414368527337;14.629404929573411
D;11.716481484227494;15.420297256591084
D;9.81784222426597;27.790402002608516
C;9.04583927120601;14.9592675075844
B;10.108479547640904;17.778558152967662
B;15.296596162471904;33.2638728281172
C;12.33108086376425;25.597569888981752
D;12.349217502182874;25.483223165932486
D;10.895563425759464;32.043704132027415
C;10.357589596630422;19.388408357901653
C;5.233866554923905;9.742073982624788
B;8.667124244874724;24.869837080994103
B;9.063826781567606;18.764012984033116
D;6.275959806242762;33.334492504020545
A;7.71051699497472;9.121909600407207
B;6.064129372217586;14.632145335517635
B;9.948084238322574;16.717507417704837
C;11.661791559684742;19.49995257941191
B;12.237649950681934;12.507887917137168
B;10.854051152570184;22.105200945180968
A;8.09844898031322;16.41597975877653
C;6.161645122024139;26.02971974140496
C;6.5119414998073335;28.262381913638592
B;7.4874448987843;18.103242340704583
C;8.247481193883395;23.07859322450099
B;9.705301823716514;20.007622450142208
B;7.996941201644378;19.569883158950688
C;10.702475789386957;12.111826569929917
C;9.560291778360897;19.251685253137794
D;10.04579640406903;25.350644148468973
C;12.304583572104264;22.262632930341624
A;7.664897679528261;14.768319452900641
B;10.861889224851195;12.154838681238289
B;9.996772034579203;19.0472679384211
B;9.357921994423478;15.717206578337027
B;11.794735620801834;16.326763697928072
E;11.782254727874268;15.80862220618701
B;8.132250755082872;20.086097020159286
D;9.660490001964822;23.50819813152839
C;10.586979197674356;15.514957447411007
C;9.478847733607896;15.282265295983962
A;11.194431085471026;12.96798415322155
A;10.586939879162822;21.024804937831732
A;13.68882345581451;25.190855738543405
B;6.964995766583062;19.335979329860265
C;9.779906279478418;23.538804955946944
B;8.208206390928376;26.914451530041333
B;11.232592814534765;21.40948867769339
C;6.791258139832427;14.898978657530051
B;10.717145379612568;14.314338086890984
E;8.764961111606812;15.21184330755409
E;8.556791612845567;30.887311931483964
E;7.132511464622125;32.928100598893934
B;9.094815175277867;17.880039636127094
B;12.193114247898691;26.573378072515425
E;9.974347304649347;27.754875301970742
A;11.279725749733915;12.227983349802116
E;13.353077149540054;30.45614134439802
E;10.552076621179106;18.547443053933875
D;8.90741956912732;18.264408395190458
B;10.958957746887648;13.167568248576345
B;8.936418428639396;30.936803066019365
D;9.01614338275577;20.41397413669074
B;6.985762715906235;30.172724967548675
B;11.876715367907785;27.321149182683712
A;9.25291834370203;17.98075754848287
E;10.388806939717533;20.6063375267438
C;7.953357792119915;16.224377669434944
A;10.896365826066969;16.865923452916377
B;8.501248176393801;22.607555014579475
C;9.74137143563744;24.492395693034723
E;11.779879135943313;9.576039731382934
B;11.605793675272807;9.715326918259052
A;9.980662786149864;17.0176148261678
D;6.489423039205702;21.686845032497104
C;16.008682770129223;27.871887114421952
C;13.5154666921651;20.323743413238617
C;11.469662217936765;18.51636641474238
B;8.518718274784154;23.428611916315504
B;9.797589062256339;14.811233259383698
D;8.93816937915912;20.472164494875642
D;12.551726233303587;19.209710129304767
D;10.549571923523516;20.92376587897752
E;8.456815181521925;26.97850442393883
A;9.083459998877126;10.458998915541997
A;12.266469256073549;19.52930075684617
C;13.224024765633061;24.466592157531522
C;13.080531745138016;23.00183734105417
C;11.538357766015892;10.905842946502617
C;9.519600260794162;9.691746507380003
D;3.543469348470752;23.997661583103536
B;10.618867091930799;2.364451179202888
B;10.021054281740955;10.68305946259261
B;10.304597848458863;20.581291007826167
A;10.13247578611956;26.52314885021633
B;7.372917292801704;11.87606841320121
A;11.139220750372608;30.213157929606496
A;11.28879504258335;23.784501570778048
B;11.389012359097858;36.9671948914995
A;11.917343195998775;17.2038111228419
B;11.232481224253815;28.18859502491523
B;9.204877911697736;17.80632622595067
D;9.88307612989193;20.215999462458058
B;10.206910312665322;16.10719795609657
B;10.240050343095595;19.936283199529043
A;12.02059604467233;25.5960685384905
C;11.31169360979978;30.470209780654386
B;14.178252969184246;14.99187515027802
C;14.436432896330837;21.093539901521353
B;10.183966066740162;16.783946803463778
B;2.3535138497741954;21.406908814101598
A;12.497694178410256;26.550294616266683
A;8.944255883318835;17.24787061686129
C;8.422184598646817;22.719410037215766
C;9.228039801461202;14.659619344248995
E;9.131670816765075;27.102564322332682
A;11.248913026074375;24.700736337764965
B;6.90669854669962;15.554188022773587
C;7.869863168575542;15.423055754736652
B;10.71083880562731;28.589977980815775
A;11.270255584755851;32.49326185335053
B;11.307440565750852;15.787881890966673
B;8.451071923196855;25.642310589586486
E;8.068718557778107;18.033770876813605
D;9.011720300760162;28.603240080337855
C;10.504324116526286;18.323032996525626
A;12.994846971133963;24.178582944924074
B;5.930964642254111;20.90578180191187
B;9.583374908413386;8.134756252660281
B;7.360088270283244;15.045917242412088
A;6.721135890662588;24.059550373140155
C;11.958091249520931;23.28010310421587
C;11.113659830168917;21.68336177629658
B;10.923330167252644;30.731908691428544
E;11.866254948056028;25.182569152935685
C;9.065537343015544;24.356604403004667
A;9.159674160103975;8.058584970365928
C;14.394967597697583;25.51070084598382
A;9.531704553979518;11.185337520864778
B;11.49456992979028;19.948036190569837
B;10.037470357142952;11.242361277681312
C;6.329212198008509;22.875309187005087
B;5.936579458769327;26.83172246209574
B;8.867061395943244;19.467882919635713
B;12.136331339827224;19.65823549216816
B;11.600859723859468;14.537730450046638
D;11.852361426048068;26.715257096661844
C;8.051162336870894;11.720540260045254
A;13.255565359759558;20.907130745775248
B;8.095455887223553;19.386708794876085
A;10.450242314051946;22.248438104766365
A;10.00401191642982;24.84934522620324
B;9.677058962704002;19.046981487926132
A;12.701157448982826;25.556131866867418
B;8.614878296269351;19.767877484016708
C;7.326243968280783;22.034274527780326
C;10.064690745785475;13.596275493418261
B;9.225277644107766;17.53715456857958
B;16.77761555299384;10.65207045649845
C;11.377352961147691;20.356169344606315
A;9.206255204761169;24.482565137163647
D;7.91306961423961;18.764460729141092
C;6.2651700868091105;19.42291798950123
B;7.974837558110121;22.357408346004377
B;10.254530997583007;23.018495973784866
C;12.87858157811314;10.437377743242905
B;12.267470979638075;16.477098489454647
A;10.482774214327096;11.203381429993897
E;9.378553538976547;17.682446932505854
A;10.562187377869163;29.32760807717591
B;8.987720587603661;24.57147346902525
C;13.460491894008232;19.93123733574248
A;9.646434680727772;31.251601413584694
A;9.852082650924809;21.76847126393932
E;5.594286950945745;35.00780322223659
B;9.63394879129976;20.783193508919567
E;11.697218130478273;16.451244368943662
E;7.889853996679509;13.186169088748784
B;8.52368380049899;23.875470059189183
B;11.609696010805086;17.62478529401983
B;7.0722100435276545;20.77142936861992
B;12.139729914935698;22.844814537000275
B;8.960716244528895;15.011612586616138
C;9.247788467794319;21.666697870059124
B;7.777573284676029;18.861336665954695
B;10.780594993527394;11.505298481809405
D;14.94309927114352;23.177328742352756
B;11.587274633512003;23.983110038085442
D;8.29661652454879;27.926874472359714
B;12.295326189047124;13.351307602081079
B;9.391526203292209;32.66462323941482
C;12.772923356814115;15.558622854190844
C;11.637619084165351;33.14545149974765
D;4.14004945280014;8.652888785315099
C;8.017104814967114;20.181246225205996
C;11.912960842284102;22.252320295428035
B;10.327941766604186;19.09928590275763
B;7.977763027920061;13.276111994703115
C;8.757880894598856;17.18935340928533
D;6.213287966298454;21.886959700010493
E;9.84801291397071;33.79727493309338
A;14.44487206278833;13.535526672331343
B;11.634134021772255;16.400545415613124
C;14.40433778423872;12.146134756686251
B;11.78901873420378;17.669224593898434
E;12.079103295041154;19.500109953624587
D;13.971780368659283;25.99445595443649
A;10.779029422821878;22.008101090606033
C;9.650359318647718;28.987387816475348
C;12.089456788193377;19.761697629911623
B;12.931590140193489;3.7476994955884493
D;9.06504598653952;22.289762809814874
A;8.581970241265811;10.023651805756117
D;10.302346341185428;25.784308345103
B;11.687250335501068;19.76943887887637
D;11.620453108042591;16.15582158941038
B;7.177160366247534;12.860744747719082
B;13.846869552278989;16.945091194364068
E;8.74273424115737;19.494280430184517
B;9.494726859644437;31.52598781672441
B;8.21989947140513;18.99504889128184
E;15.41988157342783;21.290039017851086
E;10.508718741389565;19.325190859420672
A;8.323229552609494;21.303315899149993
C;11.752081834228859;20.936024332274428
A;11.562558524883697;19.873272285508165
B;9.649360189858102;15.968887522152954
B;11.705461008406896;24.110391784958438
C;8.374581639855668;13.53374137004539
C;9.039145860049498;22.90469898615561
C;6.005385194620142;24.233772588655256
C;7.377538174762023;8.965347922026922
B;13.638976324138604;13.02492759482925
A;13.306663552476778;9.612465217948284
B;10.156251836754866;27.61449600159949
A;13.349657342474018;16.730900063754234
A;9.704650026116212;27.235815342668957
D;9.538024315658687;17.900904938800068
B;10.137700948947701;13.964111538228735
B;9.774936437996972;15.685367760641611
B;9.594436726611441;20.82274455824586
C;12.310876946629003;24.164337854418818
C;10.324899368700752;20.069301470280834
B;11.449281713823266;25.548267238169046
B;12.08690350917876;18.86065333280453
C;10.800868476680208;19.512200644702034
B;8.084702799293181;15.329589918961346
D;7.319724498519573;14.7418691374437
C;10.322190077074232;24.596743058634047
B;9.682292551324629;13.552759514457648
B;10.199445493276867;17.886002578905163
E;9.992611559646484;24.912276267735024
B;15.19043445670781;10.522955309607823
B;7.364991289795986;27.797094348461997
D;6.045914794294427;14.046184488189738
E;10.689281305443174;27.824887987082093
E;9.272073106838945;13.54354603504521
C;10.656672364773593;24.581058299043207
B;11.192155092719055;16.573830308089327
B;12.592212587571296;31.82562851169496
C;7.011089694349855;18.477196839167163
A;8.911581770449583;12.839587806776308
A;10.881997044383414;22.910207284030776
E;11.565213425956655;17.185625936420365
B;14.41040121137938;23.53929506624172
A;11.935592101745286;27.71632028225781
B;9.911164892786969;24.76083627777848
A;8.24432995254049;10.218707849862085
B;8.896442033184387;13.433702551857778
B;8.839631749423264;21.45844568000939
B;11.334816988060332;22.086098735949463
C;10.538564066718255;5.591349147063738
C;7.378141035370521;12.310042355450832
A;9.153148053162361;13.943653349047054
E;11.779322333820614;28.238845692713312
B;10.727841721236658;15.927174253782368
B;11.16168667716511;24.117363073620936
